"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan.-Dec. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","265 492 019"
"Jan. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","57 148 315"
"Feb. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","35 114 389"
"Mar. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","40 500 685"
"Apr. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","21 196 276"
"May. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","46 680 180"
"Jun. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","13 124 523"
"Jul. 2021","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","30 465 671"
"Jan. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","363 255 910"
"Feb. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","374 141 514"
"Mar. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","190 844 332"
"Apr. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","118 289 096"
"May. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","141 557 576"
"Jun. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","129 854 592"
"Jul. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","161 513 235"
"Aug. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","188 521 520"
"Sep. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","209 518 327"
"Oct. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","196 219 974"
"Nov. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","189 590 077"
"Dec. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","138 938 099"
"Jan.-Dec. 2020","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","2 402 244 252"
"Jan. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","364 363 551"
"Feb. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","376 804 140"
"Mar. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","256 340 904"
"Apr. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","321 245 270"
"May. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","541 600 117"
"Jun. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","464 403 471"
"Jul. 2021","Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","421 159 693"
"Jan. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","772 169 803"
"Feb. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","737 510 934"
"Mar. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","689 341 441"
